complaint_text,complainant,accused
Ms. Priya Sharma has accused Inspector General of unlawful conduct.,Ms. Priya Sharma,Inspector General
Journalists Association of Delhi filed a report against Government Official citing threats and intimidation.,Journalists Association of Delhi,Government Official
Complaint submitted by Smt. Sunita Gupta alleging harassment by Inspector General.,Smt. Sunita Gupta,Inspector General
Mr. Arvind Yadav raised concerns regarding behaviour of Tehsildar.,Mr. Arvind Yadav,Tehsildar
Ms. Priya Sharma has accused Government Official of unlawful conduct.,Ms. Priya Sharma,Government Official
"According to Mr. Arvind Yadav, Inspector General obstructed journalistic activities.",Mr. Arvind Yadav,Inspector General
National Human Rights Commission lodged a complaint against Inspector General with the authorities.,National Human Rights Commission,Inspector General
Smt. Sunita Gupta lodged a complaint against Media House Owner with the authorities.,Smt. Sunita Gupta,Media House Owner
"According to Ms. Neha Dubey, Rajkot Collector obstructed journalistic activities.",Ms. Neha Dubey,Rajkot Collector
Press Club of India has accused District Magistrate of unlawful conduct.,Press Club of India,District Magistrate
Complaint submitted by Smt. Sunita Gupta alleging harassment by Delhi Police.,Smt. Sunita Gupta,Delhi Police
Complaint submitted by Journalists Association of Delhi alleging harassment by State Education Minister.,Journalists Association of Delhi,State Education Minister
Ms. Neha Dubey filed a report against Political Party Worker citing threats and intimidation.,Ms. Neha Dubey,Political Party Worker
Press Club of India raised concerns regarding behaviour of State Education Minister.,Press Club of India,State Education Minister
Ms. Neha Dubey lodged a complaint against Political Party Worker with the authorities.,Ms. Neha Dubey,Political Party Worker
Suo-Motu cognizance with regard to Inspector General allegedly harassing Media Council of India during coverage of an event.,Media Council of India,Inspector General
Shri Aman Verma filed a report against Political Party Worker citing threats and intimidation.,Shri Aman Verma,Political Party Worker
A complaint has been registered by Mr. Rahul Tiwari against Government Official for misconduct.,Mr. Rahul Tiwari,Government Official
Editor of The Daily News raised concerns regarding behaviour of Government Official.,Editor of The Daily News,Government Official
Complaint filed by Shri Rajesh Jain against Inspector General for abuse of power.,Shri Rajesh Jain,Inspector General
Suo-Motu cognizance with regard to an incident involving Media House Owner and Mr. Arvind Yadav.,Mr. Arvind Yadav,Media House Owner
Suo-Motu cognizance of unlawful detention of Shri Aman Verma by Local MLA.,Shri Aman Verma,Local MLA
Press Club of India filed a report against Police Constable citing threats and intimidation.,Press Club of India,Police Constable
"According to Journalists Association of Delhi, Tehsildar obstructed journalistic activities.",Journalists Association of Delhi,Tehsildar
A complaint has been registered by Advocate Rakesh Kumar against Rajkot Collector for misconduct.,Advocate Rakesh Kumar,Rajkot Collector
Suo-Motu cognizance with regard to Media House Owner allegedly harassing Mr. Arvind Yadav during coverage of an event.,Mr. Arvind Yadav,Media House Owner
A complaint has been registered by Mr. Rahul Tiwari against Delhi Police for misconduct.,Mr. Rahul Tiwari,Delhi Police
Shri Aman Verma lodged a complaint against Traffic Police Officer with the authorities.,Shri Aman Verma,Traffic Police Officer
Suo-Motu cognizance with regard to District Magistrate allegedly harassing Ms. Priya Sharma during coverage of an event.,Ms. Priya Sharma,District Magistrate
A complaint has been registered by Ms. Priya Sharma against Traffic Police Officer for misconduct.,Ms. Priya Sharma,Traffic Police Officer
Ms. Priya Sharma raised concerns regarding behaviour of State Education Minister.,Ms. Priya Sharma,State Education Minister
Complaint submitted by Shri Aman Verma alleging harassment by Ranchi SP.,Shri Aman Verma,Ranchi SP
A complaint has been registered by National Human Rights Commission against Block Development Officer for misconduct.,National Human Rights Commission,Block Development Officer
Complaint filed by Ms. Neha Dubey against Block Development Officer for abuse of power.,Ms. Neha Dubey,Block Development Officer
Formal complaint by Advocate Rakesh Kumar accusing Zonal Commissioner of corruption.,Advocate Rakesh Kumar,Zonal Commissioner
Mr. Rahul Tiwari filed a report against District Magistrate citing threats and intimidation.,Mr. Rahul Tiwari,District Magistrate
Smt. Sunita Gupta has accused Inspector General of unlawful conduct.,Smt. Sunita Gupta,Inspector General
